code,name,number,scene,text
ALOS:0:LWODS,ALOS,0,LWODS,Hello Momo.
MOMO:1:LWODS,MOMO,1,LWODS,Hello Alex.
ALOS:2:LWODS,ALOS,2,LWODS,Can you tell me something?
MOMO:3:LWODS,MOMO,3,LWODS,No.
ALOS:4:LWODS,ALOS,4,LWODS,OK.
ALOS:5:LWODS,ALOS,5,LWODS,Bye!
MOMO:6:LWODS,MOMO,6,LWODS,Bye!
COSM:0:STARPL,COSM,0,STARPL,Hello world!
RBOT:1:STARPL,RBOT,1,STARPL,Good morning mate.
COSM:2:STARPL,COSM,2,STARPL,Good morning mate.
COSM:3:STARPL,COSM,3,STARPL,I'm going back to sleep.
RBOT:4:STARPL,RBOT,4,STARPL,Good night mate.
COSM:5:STARPL,COSM,5,STARPL,Zzz...
